"Date_evenement";"Hopital_Clinique_Deces2020";"Maison_retraite_Deces2020";"Domicile_Deces2020";"Autre_Deces2020";"Total_Deces2020";"Hopital_Clinique_Deces2019";"Maison_retraite_Deces2019";"Domicile_Deces2019";"Autre_Deces2019";"Total_Deces2019";"Hopital_Clinique_Deces2018";"Maison_retraite_Deces2018";"Domicile_Deces2018";"Autre_Deces2018";"Total_Deces2018";"Zone";"LibelleZone"
"01/03/2020";"912";"202";"449";"211";"1774";"1003";"226";"425";"218";"1872";"1062";"304";"568";"202";"2136";"FE";"France"
"02/03/2020";"1834";"412";"890";"415";"3551";"2000";"483";"849";"450";"3782";"2205";"619";"1085";"418";"4327";"FE";"France"
"03/03/2020";"2821";"584";"1302";"602";"5309";"2909";"722";"1262";"637";"5530";"3331";"902";"1610";"612";"6455";"FE";"France"
"04/03/2020";"3790";"772";"1753";"794";"7109";"3898";"974";"1715";"823";"7410";"4411";"1213";"2121";"800";"8545";"FE";"France"
"05/03/2020";"4738";"995";"2160";"982";"8875";"4848";"1224";"2167";"1039";"9278";"5521";"1513";"2699";"1013";"10746";"FE";"France"
"06/03/2020";"5706";"1211";"2605";"1189";"10711";"5804";"1453";"2648";"1243";"11148";"6669";"1813";"3191";"1231";"12904";"FE";"France"
"07/03/2020";"6578";"1404";"3027";"1381";"12390";"6795";"1715";"3062";"1435";"13007";"7785";"2086";"3695";"1392";"14958";"FE";"France"
"08/03/2020";"7482";"1607";"3418";"1583";"14090";"7782";"1930";"3475";"1620";"14807";"8934";"2371";"4176";"1583";"17064";"FE";"France"
"09/03/2020";"8421";"1809";"3881";"1787";"15898";"8710";"2159";"3904";"1807";"16580";"10044";"2633";"4658";"1777";"19112";"FE";"France"
"10/03/2020";"9397";"2032";"4300";"1985";"17714";"9533";"2384";"4321";"2009";"18247";"11122";"2936";"5160";"1980";"21198";"FE";"France"
"11/03/2020";"10382";"2269";"4754";"2191";"19596";"10452";"2625";"4744";"2192";"20013";"12130";"3199";"5649";"2162";"23140";"FE";"France"
"12/03/2020";"11299";"2499";"5201";"2377";"21376";"11385";"2823";"5147";"2364";"21719";"13162";"3503";"6176";"2346";"25187";"FE";"France"
"13/03/2020";"12236";"2697";"5609";"2583";"23125";"12280";"3036";"5547";"2547";"23410";"14218";"3784";"6616";"2549";"27167";"FE";"France"
"14/03/2020";"13154";"2913";"6001";"2800";"24868";"13210";"3239";"5961";"2718";"25128";"15243";"4015";"7103";"2733";"29094";"FE";"France"
"15/03/2020";"14107";"3147";"6416";"3022";"26692";"14127";"3448";"6386";"2912";"26873";"16258";"4284";"7533";"2917";"30992";"FE";"France"
"16/03/2020";"15140";"3411";"6863";"3246";"28660";"15040";"3660";"6809";"3084";"28593";"17303";"4540";"7963";"3093";"32899";"FE";"France"
"17/03/2020";"16158";"3682";"7354";"3475";"30669";"15901";"3877";"7200";"3250";"30228";"18337";"4784";"8374";"3244";"34739";"FE";"France"
"18/03/2020";"17192";"3929";"7822";"3703";"32646";"16844";"4089";"7597";"3455";"31985";"19260";"5039";"8812";"3419";"36530";"FE";"France"
"19/03/2020";"18262";"4215";"8317";"3930";"34724";"17736";"4302";"7990";"3641";"33669";"20203";"5318";"9233";"3599";"38353";"FE";"France"
"20/03/2020";"19266";"4472";"8842";"4150";"36730";"18634";"4491";"8369";"3836";"35330";"21178";"5546";"9643";"3777";"40144";"FE";"France"
"21/03/2020";"20227";"4745";"9295";"4365";"38632";"19549";"4704";"8761";"4017";"37031";"22193";"5800";"10096";"3957";"42046";"FE";"France"
"22/03/2020";"21213";"5040";"9808";"4552";"40613";"20435";"4916";"9149";"4219";"38719";"23228";"6043";"10536";"4131";"43938";"FE";"France"
"23/03/2020";"22272";"5334";"10357";"4776";"42739";"21361";"5124";"9513";"4419";"40417";"24200";"6294";"10973";"4297";"45764";"FE";"France"
"24/03/2020";"23355";"5645";"10874";"4988";"44862";"22236";"5325";"9868";"4616";"42045";"25194";"6549";"11420";"4486";"47649";"FE";"France"
"25/03/2020";"24514";"5961";"11453";"5218";"47146";"23090";"5543";"10274";"4803";"43710";"26170";"6774";"11875";"4647";"49466";"FE";"France"
"26/03/2020";"25703";"6314";"12009";"5459";"49485";"23972";"5735";"10637";"4991";"45335";"27138";"7021";"12347";"4813";"51319";"FE";"France"
"27/03/2020";"26918";"6647";"12574";"5722";"51861";"24894";"5949";"11023";"5155";"47021";"28142";"7287";"12764";"4985";"53178";"FE";"France"
"28/03/2020";"28116";"7070";"13176";"5972";"54334";"25792";"6163";"11413";"5343";"48711";"29075";"7519";"13247";"5164";"55005";"FE";"France"
"29/03/2020";"29218";"7463";"13764";"6218";"56663";"26677";"6368";"11800";"5529";"50374";"29991";"7772";"13708";"5361";"56832";"FE";"France"
"30/03/2020";"30524";"7898";"14383";"6492";"59297";"27508";"6572";"12204";"5727";"52011";"30957";"8013";"14126";"5539";"58635";"FE";"France"
"31/03/2020";"31864";"8351";"15006";"6764";"61985";"28372";"6737";"12599";"5921";"53629";"31871";"8251";"14577";"5702";"60401";"FE";"France"
"01/04/2020";"33182";"8846";"15656";"7047";"64731";"29248";"6938";"13036";"6096";"55318";"32758";"8495";"15022";"5907";"62182";"FE";"France"
"02/04/2020";"34448";"9327";"16252";"7302";"67329";"30150";"7162";"13429";"6278";"57019";"33645";"8733";"15441";"6078";"63897";"FE";"France"
"03/04/2020";"35757";"9809";"16885";"7607";"70058";"31037";"7371";"13824";"6473";"58705";"34568";"8977";"15939";"6264";"65748";"FE";"France"
"04/04/2020";"37006";"10319";"17480";"7907";"72712";"31921";"7569";"14231";"6652";"60373";"35574";"9188";"16344";"6397";"67503";"FE";"France"
"05/04/2020";"38198";"10812";"18172";"8169";"75351";"32816";"7768";"14622";"6830";"62036";"36479";"9443";"16771";"6572";"69265";"FE";"France"
"06/04/2020";"39458";"11307";"18802";"8437";"78004";"33684";"7965";"15003";"7033";"63685";"37370";"9688";"17188";"6750";"70996";"FE";"France"
"07/04/2020";"40649";"11820";"19408";"8740";"80617";"34572";"8156";"15413";"7219";"65360";"38310";"9905";"17577";"6944";"72736";"FE";"France"
"08/04/2020";"41775";"12325";"20042";"9008";"83150";"35439";"8365";"15802";"7418";"67024";"39205";"10129";"17982";"7136";"74452";"FE";"France"
"09/04/2020";"42975";"12781";"20607";"9233";"85596";"36271";"8573";"16202";"7600";"68646";"40093";"10340";"18442";"7312";"76187";"FE";"France"
"10/04/2020";"44146";"13216";"21245";"9498";"88105";"37129";"8781";"16613";"7790";"70313";"41072";"10579";"18856";"7484";"77991";"FE";"France"
"11/04/2020";"45278";"13627";"21816";"9746";"90467";"37974";"8992";"16992";"7962";"71920";"42004";"10804";"19229";"7660";"79697";"FE";"France"
"12/04/2020";"46302";"14018";"22359";"9981";"92660";"38825";"9180";"17387";"8151";"73543";"42929";"11040";"19642";"7819";"81430";"FE";"France"
"13/04/2020";"47413";"14387";"22946";"10219";"94965";"39654";"9354";"17767";"8323";"75098";"43812";"11251";"20047";"7989";"83099";"FE";"France"
"14/04/2020";"48490";"14744";"23516";"10468";"97218";"40473";"9516";"18132";"8496";"76617";"44671";"11457";"20435";"8152";"84715";"FE";"France"
"15/04/2020";"49573";"15101";"24019";"10686";"99379";"41331";"9717";"18518";"8674";"78240";"45536";"11666";"20883";"8297";"86382";"FE";"France"
"16/04/2020";"50587";"15461";"24502";"10909";"101459";"42227";"9914";"18893";"8873";"79907";"46405";"11901";"21292";"8476";"88074";"FE";"France"
"17/04/2020";"51693";"15808";"25003";"11133";"103637";"43175";"10123";"19286";"9050";"81634";"47222";"12108";"21723";"8663";"89716";"FE";"France"
"18/04/2020";"52713";"16137";"25460";"11348";"105658";"44057";"10316";"19651";"9224";"83248";"48140";"12299";"22099";"8826";"91364";"FE";"France"
"19/04/2020";"53647";"16447";"25890";"11561";"107545";"44924";"10520";"20055";"9428";"84927";"49070";"12530";"22504";"9006";"93110";"FE";"France"
"20/04/2020";"54523";"16716";"26324";"11764";"109327";"45824";"10743";"20434";"9602";"86603";"49992";"12763";"22925";"9192";"94872";"FE";"France"
